className,PR2018,PR2019,PR2020,PR2021
人工草地,0.42716102149999996,0.3900630983333333,17.291666664999997,16.972222223333333
克氏针茅草原,0.38037943700000004,0.30544868,20.261904763285713,19.845238095714286
其它嵩草草甸,0.3306731245882353,0.3998239425294118,23.53921568588235,22.274509804705882
其它薹草草甸,0.3470564885555556,0.4377124168888889,23.27777777761111,21.587962963333336
冷蒿荒漠草原,0.26948176585714284,0.2765295247142857,17.142857142857142,14.571428572428571
合头草荒漠,0.172790060375,0.18549678481249998,4.5572916666875,5.208333333375
含多枝柽柳的芦苇盐生草甸,0.12312721855263158,0.10726997992105264,2.6951754386578948,3.964912280710527
含多枝柽柳的花花柴盐生草甸,0.12216876142857143,0.10652020685714285,2.9285714285714284,3.619047619285714
含盐生半灌木的芦苇盐生草甸,0.156809631125,0.182145147125,3.17708333325,3.750000000125
多枝柽柳荒漠,0.18031004816666665,0.164506827,4.499999999833333,5.208333333166666
寸草苔草甸（1:100图，薹草、杂类草草甸）,0.328185354,0.33016371166666664,17.125,16.083333333333332
小蓬荒漠,0.2940504043,0.2259970681,10.6416666656,11.9
小针茅荒漠草原,0.2925458416363636,0.3005453061818182,21.66666666636364,21.52272727336364
戈壁藜荒漠,0.1892079664,0.18451600086666667,5.511111111266667,5.955555555399999
新疆银穗草、穗状寒生羊茅荒漠草原,0.3380664504,0.3088528639,16.7833333313,13.6333333327
新疆银穗草草原,0.17434715736363637,0.19217501381818183,8.931818181727273,7.287878788454545
早熟禾、羽衣草草甸,0.4942475386,0.4567753752,30.733333333999997,31.333333332000002
早熟禾杂类草草甸,0.3180652974,0.2988566714,11.0666666654,10.066666666
早熟禾草甸,0.32055404066666665,0.3657450766666666,23.361111111666663,23.36111111
旱蒿荒漠,0.0616075015,0.08774262215384615,2.131410256384615,2.416666666653846
昆仑针茅、高山绢蒿荒漠草原,0.2034938281666667,0.16172730466666665,1.9027777778333332,1.763888888833333
木本猪毛菜荒漠,0.1540700578,0.1714217464,5.9333333333,6.5249999997
杂类草高寒草甸,0.5142019646,0.5303073082,22.366666666,23.616666668
枇杷柴荒漠,0.1681092528965517,0.17015899968965514,5.833333333413793,6.393678160517242
柽柳属荒漠,0.18183975,0.16437240674999998,2.6770833336249997,3.77083333275
